Year,Award_Name,Category,Won_not,person_id,imdb_id
1928,Oscar,Writing (Original Story),,,tt0019071
1928,Oscar,Writing (Adaptation),1,nm0322227,tt0018379
1928,Oscar,Actress,,nm0237571,tt0018389
1928,Oscar,Unique and Artistic Picture,,nm0151625,tt0401311
1928,Oscar,Art Direction,,nm0322843,tt0357213
1928,Oscar,Directing (Dramatic Picture),,nm0896542,tt0018806
1928,Oscar,Cinematography,1,nm0003546,tt0357213
1928,Oscar,Special Award,1,nm0000122,tt0011058
1928,Oscar,Special Award,1,nm4011778,tt0018037
1928,Oscar,Directing (Dramatic Picture),,nm0107543,tt0018429
1928,Oscar,Cinematography,,nm0055604,
1928,Oscar,Directing (Comedy Picture),,nm0817541,tt0019412
1928,Oscar,Outstanding Picture,1,nm4047448,tt0018578
1928,Oscar,Writing (Adaptation),,nm0169878,tt0018037
1928,Oscar,Writing (Adaptation),,nm0170401,tt0018945
1928,Oscar,Engineering Effects,,nm0358518,
1928,Oscar,Writing (Original Story),1,nm0372942,tt0018526
1928,Oscar,Actor,1,nm0417837,tt0019071
1928,Oscar,Unique and Artistic Picture,,nm11829394,tt0018806
1928,Oscar,Writing (Title Writing),1,nm0267868,
1928,Oscar,Directing (Dramatic Picture),1,nm0097648,tt0018379
1928,Oscar,Outstanding Picture,,,tt0019304
1928,Oscar,Engineering Effects,,nm0805521,
1928,Oscar,Engineering Effects,1,nm0690120,tt0018578
1928,Oscar,Directing (Comedy Picture),1,nm0587277,tt0018515
1928,Oscar,Unique and Artistic Picture,1,nm10464429,tt0162806
1928,Oscar,Outstanding Picture,,nm10464429,tt0018379
1928,Oscar,Actor,,nm0001932,tt0019217
1928,Oscar,Art Direction,1,nm0580017,
1928,Oscar,Writing (Title Writing),,nm0240533,tt0017979
1928,Oscar,Cinematography,1,nm0835365,tt0357213
1928,Oscar,Actress,1,nm0310980,tt0018379
1928,Oscar,Actress,,nm0841797,tt0019344
1928,Oscar,Art Direction,,nm0646856,tt0018379
1929,Oscar,Writing,,nm0580648,
1929,Oscar,Art Direction,,nm0245935,tt0019843
1929,Oscar,Actor,,nm0832011,tt0007160
1929,Oscar,Cinematography,,nm0782715,tt0019824
1929,Oscar,Directing,1,nm0515979,tt0019824
1929,Oscar,Art Direction,1,nm0316539,tt0019722
1929,Oscar,Outstanding Picture,,,tt0007160
1929,Oscar,Directing,,nm0515979,tt11358618
1929,Oscar,Actress,1,nm0681933,tt0019788
1929,Oscar,Writing,,,tt0020081
1929,Oscar,Cinematography,1,nm0005682,tt0019574
1929,Oscar,Outstanding Picture,,nm11134437,tt0019630
1929,Oscar,Writing,1,,tt0007160
1929,Oscar,Outstanding Picture,1,,tt0019729
1929,Oscar,Actress,,nm0522281,tt0019729
1929,Oscar,Writing,,nm0522674,tt0019237
1929,Oscar,Directing,,nm0523932,tt0007160
1929,Oscar,Directing,,nm0191899,tt0020018
1929,Oscar,Writing,,nm0058179,
1929,Oscar,Actress,,nm0341464,tt0019824
1929,Oscar,Art Direction,,nm0646856,tt0019429
1929,Oscar,Cinematography,,nm0005823,
1929,Oscar,Cinematography,,nm0249186,tt0020018
1929,Oscar,Actress,,nm0247074,tt0020092
1929,Oscar,Art Direction,,nm0237417,tt0007160
1929,Oscar,Art Direction,,nm0580017,
1929,Oscar,Actor,,nm0051628,tt0020499
1929,Oscar,Actress,,nm0173993,tt0018674
1929,Oscar,Directing,,nm0064600,tt0019729
1929,Oscar,Outstanding Picture,,nm10464429,tt0020018
1929,Oscar,Actress,,nm0154183,tt0007001
1929,Oscar,Actor,1,nm0062828,tt0020018
1929,Oscar,Cinematography,,nm0055604,tt0019237
1929,Oscar,Actor,,nm0606431,tt0019630
1929,Oscar,Actor,,nm0612847,tt0020543
1929,Oscar,Directing,,nm0000859,tt0007001
1930,Oscar,Directing,,nm0896542,tt0019959
1930,Oscar,Sound Recording,1,,tt0020686
1930,Oscar,Outstanding Production,1,nm0881265,tt0020629
1930,Oscar,Directing,,nm0523932,tt0020112
1930,Oscar,Actress,,nm0001256,tt0013834
1930,Oscar,Writing,1,nm0547966,tt0020686
1930,Oscar,Cinematography,,nm0160285,tt0013834
1930,Oscar,Outstanding Production,,,tt0020686
1930,Oscar,Writing,,,tt0020629
1930,Oscar,Actor,,nm0002183,tt0014100
1930,Oscar,Actress,1,nm0790454,tt0010069
1930,Oscar,Cinematography,,,tt0020629
1930,Oscar,Cinematography,,,tt0020960
1930,Oscar,Actor,1,nm0002183,tt0012111
1930,Oscar,Actress,,nm0007216,tt0020823
1930,Oscar,Art Direction,,nm10139393,tt0016307
1930,Oscar,Art Direction,,,tt0021511
1930,Oscar,Art Direction,,,tt0013902
1930,Oscar,Actor,,nm0002001,tt0020690
1930,Oscar,Outstanding Production,,,tt0010069
1930,Oscar,Writing,,,tt0010069
1930,Oscar,Sound Recording,,nm2007843,tt0021281
1930,Oscar,Directing,1,nm0587277,tt0020629
1930,Oscar,Actress,,nm0154183,tt0021335
1930,Oscar,Actress,,nm0841797,tt0020514
1930,Oscar,Directing,,nm0113284,
1930,Oscar,Cinematography,1,,tt0020594
1930,Oscar,Directing,,nm0998466,tt0010069
1930,Oscar,Writing,,nm0228411,tt0012111
1930,Oscar,Sound Recording,,,tt0020112
1930,Oscar,Outstanding Production,,,tt0020112
1930,Oscar,Writing,,,tt0021420
1930,Oscar,Cinematography,,,tt0020112
1930,Oscar,Art Direction,,,tt0020112
1930,Oscar,Actress,,nm0790454,tt0020488
1930,Oscar,Art Direction,1,nm0743983,tt0021025
1930,Oscar,Actor,,nm0172903,tt0013902
1930,Oscar,Sound Recording,,,tt0020744
1930,Oscar,Actor,,nm0000891,tt0020686
1930,Oscar,Outstanding Production,,nm0228411,tt0012111
1930,Oscar,Actor,,nm0862546,tt0021307
1931,Oscar,Actor,,nm0178114,tt0022397
1931,Oscar,Writing (Original Story),,,tt0022286
1931,Oscar,Writing (Original Story),,,tt0022403
1931,Oscar,Outstanding Production,,,tt0022495
1931,Oscar,Cinematography,,nm0005716,tt0021156
1931,Oscar,Directing,,nm0113284,tt0021885
1931,Oscar,Cinematography,1,nm0005677,tt0076792
1931,Oscar,Cinematography,,nm0005676,tt0021746
1931,Oscar,Writing (Original Story),,nm0114602,tt0020836
1931,Oscar,Actor,1,nm0000859,tt0021885
1931,Oscar,Actress,,nm0002050,tt0021746
1931,Oscar,Cinematography,,nm3967839,tt0022454
1931,Oscar,Writing (Adaptation),,nm3161929,tt0021079
1931,Oscar,Writing (Adaptation),,nm0413590,tt0020985
1931,Oscar,Writing (Adaptation),1,nm0261455,tt0021746
1931,Oscar,Outstanding Production,,nm10464429,tt0002820
1931,Oscar,Actor,,nm0545298,tt0021322
1931,Oscar,Writing (Adaptation),,nm1001922,tt0022397
1931,Oscar,Outstanding Production,,nm1001922,tt0022397
1931,Oscar,Cinematography,,nm0485702,tt0011629
1931,Oscar,Actor,,nm0579663,tt0021890
1931,Oscar,Directing,,nm0587277,tt0021890
1931,Oscar,Actress,1,nm0237597,tt0021148
1931,Oscar,Art Direction,,nm0237417,tt0021156
1931,Oscar,Actor,,nm0228715,tt0021746
1931,Oscar,Directing,,nm0606029,tt0021156
1931,Oscar,Actress,,nm0362267,tt0020985
1931,Oscar,Directing,1,nm0851537,tt0022397
1931,Oscar,Writing (Adaptation),,,tt0003802
1931,Oscar,Art Direction,,nm0343819,tt0022454
1931,Oscar,Art Direction,,nm0206554,tt0021549
1931,Oscar,Actress,,nm0000017,tt0021156
1931,Oscar,Directing,,nm0749484,tt0021746
1931,Oscar,Art Direction,1,nm0753663,tt0021746
1931,Oscar,Writing (Original Story),1,nm0766850,tt0020815
1931,Oscar,Art Direction,,,tt0021016
1931,Oscar,Writing (Original Story),,,tt0021053
1931,Oscar,Actress,,nm0790454,tt0021885
1931,Oscar,Outstanding Production,1,,tt0021746
1931,Oscar,Outstanding Production,,,tt0021890
1932,Oscar,Short Subject (Cartoon),1,,tt0022899
1932,Oscar,Short Subject (Comedy),,,tt0276472
1932,Oscar,Cinematography,,nm0835365,tt0002143
1932,Oscar,Art Direction,,nm0576226,
1932,Oscar,Writing (Original Story),1,nm0547966,tt0021730
1932,Oscar,Actor,1,nm0545298,tt0002143
1932,Oscar,Short Subject (Novelty),1,,tt0023711
1932,Oscar,Writing (Original Story),,,tt0023686
1932,Oscar,Outstanding Production,,nm10464429,tt0021635
1932,Oscar,Art Direction,,nm0206554,tt0021622
1932,Oscar,Short Subject (Novelty),,,tt0021445
1932,Oscar,Actor,,nm0526795,tt0021931
1932,Oscar,Special Award,1,nm0000370,tt0746539
1932,Oscar,Short Subject (Comedy),,,tt0023517
1932,Oscar,Outstanding Production,,,tt0023458
1932,Oscar,Directing,,,tt0023458
1932,Oscar,Short Subject (Novelty),,,tt0023441
1932,Oscar,Outstanding Production,,nm11527020,tt0021730
1932,Oscar,Short Subject (Cartoon),,,tt0022147
1932,Oscar,Actress,1,nm0371040,tt0022386
1932,Oscar,Outstanding Production,,,tt0021622
1932,Oscar,Outstanding Production,,,tt0023303
1932,Oscar,Writing (Adaptation),1,,tt0021635
1932,Oscar,Short Subject (Comedy),1,,tt0023251
1932,Oscar,Actress,,nm0285007,tt0021931
1932,Oscar,Writing (Adaptation),,,tt0002143
1932,Oscar,Actor,1,nm0000891,tt0021730
1932,Oscar,Cinematography,1,nm0005716,tt0023458
1932,Oscar,Actress,,nm0237597,tt0022854
1932,Oscar,Directing,1,nm0097648,tt0021635
1932,Oscar,Outstanding Production,,,tt0021873
1932,Oscar,Short Subject (Comedy),,,tt0023152
1932,Oscar,Writing (Original Story),,,tt0023109
1932,Oscar,Directing,,nm0896542,tt0021730
1932,Oscar,Art Direction,1,nm0928781,tt0022500
1932,Oscar,Writing (Adaptation),,nm0397608,tt0021622
1932,Oscar,Writing (Original Story),,nm0399203,tt0022430
1932,Oscar,Cinematography,,nm0432482,tt0021622
1932,Oscar,Outstanding Production,,,tt0022074
1932,Oscar,Outstanding Production,1,,tt0022958
1933,Oscar,Writing (Original Story),1,nm0520501,tt0023305
1933,Oscar,Cinematography,,,tt0004593
1933,Oscar,Outstanding Production,,nm11564548,tt0024240
1933,Oscar,Short Subject (Novelty),,nm11590324,tt0024327
1933,Oscar,Cinematography,1,,tt0022879
1933,Oscar,Directing,1,nm0515979,tt0023876
1933,Oscar,Art Direction,,,tt0024763
1933,Oscar,Writing (Adaptation),,,tt0024610
1933,Oscar,Cinematography,,,tt0024496
1933,Oscar,Writing (Original Story),,,tt0024475
1933,Oscar,Outstanding Production,,,tt0024473
1933,Oscar,Short Subject (Comedy),,,tt0024467
1933,Oscar,Short Subject (Comedy),,,tt0024342
1933,Oscar,Actress,,nm0944087,tt0023876
1933,Oscar,Directing,,nm7701102,tt0009309
1933,Oscar,Writing (Adaptation),,,tt0024240
