imdb_id,region
tt3247300,United States of America
tt12511606,Japan
tt0255759,United States of America
tt3293760,Spain
tt5955546,United States of America
tt0985701,Japan
tt1494843,Japan
tt1972843,United States of America
tt3309684,United States of America
tt3097902,United States of America
tt9699148,Italy
tt9699148,United States of America
tt13045094,Japan
tt2619004,Germany
tt11871736,United States of America
tt2444114,United States of America
tt2383330,Japan
tt10838700,Australia
tt10838700,Canada
tt9131368,United States of America
tt1245686,United States of America
tt2049640,United Kingdom
tt11320522,Australia
tt11320522,Canada
tt13879594,United States of America
tt0430828,United States of America
tt0373474,Japan
tt1786436,Australia
tt1786436,Canada
tt1988854,United States of America
tt0927156,Japan
tt6903222,Canada
tt7246394,United States of America
tt14095788,United States of America
tt0495648,United Kingdom
tt11580350,Japan
tt6209544,United States of America
tt3212248,United States of America
tt4832736,Japan
tt8273256,United States of America
tt9495334,Japan
tt5428478,United States of America
tt11152804,United States of America
tt13992176,United States of America
tt4627974,Japan
tt8119620,United States of America
tt6666386,United States of America
tt2321230,United States of America
tt13063060,United States of America
tt4786422,United States of America
tt1737272,Japan
tt1375673,United States of America
tt0283700,United States of America
tt7261310,United States of America
tt2294983,United States of America
tt0793653,Japan
tt9035888,United States of America
tt12915302,United States of America
tt14168142,Canada
tt9131410,United States of America
tt0494579,Japan
tt0949786,Japan
tt10651150,United States of America
tt8616896,United States of America
tt3711070,United States of America
tt2158640,United States of America
tt0273327,United States of America
tt10948040,Japan
tt2740654,United States of America
tt5526958,United States of America
tt10280376,Canada
tt1430510,United States of America
tt9232392,United States of America
tt2382971,United States of America
tt12360656,United States of America
tt11156588,United States of America
tt2293061,United States of America
tt5154088,Turkey
tt6820788,United States of America
tt7646360,Japan
tt4230986,United States of America
tt12091954,United States of America
tt5782320,United States of America
tt5296184,United Kingdom
tt0439894,United States of America
tt7187554,United States of America
tt5858072,United States of America
tt10016712,United States of America
tt12392806,United States of America
tt9104072,United States of America
tt4157302,United States of America
tt4172010,Canada
tt6754150,Japan
tt1748337,United States of America
tt3973150,United States of America
tt1204828,Japan
tt0468589,United States of America
tt0437696,United States of America
tt4044840,United States of America
tt2739130,United States of America
tt0367272,Canada
tt0933898,United Kingdom
tt3247300,Finland
tt5114318,Canada
tt5114318,Spain
tt7532674,Austria
tt3447720,United States of America
tt0314971,United States of America
tt10438088,South Korea
tt11116778,United States of America
tt2241781,Japan
tt2241781,United States of America
tt8380698,United States of America
tt2981826,United States of America
tt6273080,United Kingdom
tt0049991,Israel
tt0049991,Sweden
tt0255759,Finland
tt10438096,Germany
tt10438096,Turkey
tt11243606,United Kingdom
tt12935570,United Kingdom
tt7781198,United States of America
tt3293760,United States of America
tt3397732,Germany
tt3397732,United States of America
tt4590496,United States of America
tt8108160,United Kingdom
tt2323745,United States of America
tt2323745,France
tt2323745,Mexico
tt5955546,Finland
tt8178706,France
tt8178706,Spain
tt2060589,Austria
tt0985701,United States of America
tt2318795,Japan
tt2318795,United States of America
tt3309684,Finland
tt9131504,China
tt9131504,Japan
tt9131504,South Korea
tt2619004,Poland
tt6314754,United States of America
tt2251617,Austria
tt2251617,Switzerland
tt11901584,United Kingdom
tt9221568,United States of America
tt10452922,France
tt10452922,United States of America
tt2444114,Japan
tt6582856,United States of America
tt12774252,United States of America
tt3889010,Mexico
tt3889010,Germany
tt3889010,France
tt3889010,Netherlands
tt10838700,Japan
tt12419680,United Kingdom
tt6603684,United States of America
tt9225060,Germany
tt9225060,United Kingdom
tt2949132,Canada
tt2949132,Spain
tt2053497,France
tt2053497,Israel
tt2053497,Belgium
tt2053497,Italy
tt3471140,Canada
tt3471140,Spain
tt9131368,France
tt9131368,Cambodia
tt4374548,France
tt4374548,United States of America
tt2722248,Germany
tt2722248,United States of America
tt11043068,United States of America
tt11320522,Japan
tt9855052,United States of America
tt13389640,Argentina
tt13389640,Denmark
tt13389640,Finland
tt13389640,France
tt13389640,Germany
tt13389640,Iceland
tt13389640,Italy
tt13389640,Netherlands
tt13389640,Norway
tt13389640,Sweden
tt13389640,United Kingdom
tt13389640,United States of America
tt5227470,Austria
tt8147284,United States of America
tt1141671,United States of America
tt2044919,China
tt2044919,Germany
tt2044919,United Kingdom
tt2044919,United States of America
tt3811906,United States of America
tt2097829,China
tt2244833,Austria
tt2244833,Guatemala
tt2244833,Mexico
tt2244833,Nicaragua
tt2244833,United States of America
tt2246953,Japan
tt9844864,Colombia
tt0065536,France
tt0065610,United States of America
tt0065701,United States of America
tt0066949,Italy
tt0066949,Spain
tt0067416,Germany
tt0067416,East Germany
tt0068763,United States of America
tt0068898,Hungary
tt0069727,Iran
tt0069841,Canada
tt0070516,Spain
tt0070516,Italy
tt0070583,Italy
tt0070891,Germany
tt0070891,France
tt0071505,Denmark
tt0071819,Argentina
tt0073624,United States of America
tt0074130,United States of America
tt0074278,Venezuela
tt0075078,Spain
tt0076388,Italy
tt0076721,United States of America
tt0078095,Soviet Union
tt0078842,Hungary
tt0078874,Germany
tt0078874,East Germany
tt0079702,Italy
tt0079872,Italy
tt0082948,United States of America
tt0083608,India
tt0085345,Peru
tt0085682,Spain
tt0085691,Spain
tt0085992,Thailand
tt0085992,Hong Kong
tt0086424,France
tt0087255,Mexico
tt0087659,Venezuela
tt0088703,Brazil
tt0088870,Spain
tt0089055,France
tt0089620,Italy
tt0090750,United States of America
tt0090969,Spain
tt0091506,France
tt0091506,Greece
tt0091506,Italy
tt0091534,United States of America
tt0093343,Russia
tt0093343,Soviet Union
tt0093539,United States of America
tt0093579,Hungary
tt0093579,Italy
tt0093888,France
tt0093953,Russia
tt0093953,Soviet Union
tt0095753,Mexico
tt0097318,Spain
tt0097318,France
tt0097949,Germany
tt0099238,France
tt0099434,Italy
tt0101019,France
tt0101986,Spain
tt0103178,Japan
tt0104807,Hong Kong
tt0107085,Japan
tt0109511,Spain
tt0110041,South Korea
tt0110618,Slovakia
tt0111687,Canada
tt0112375,Italy
tt0113142,Japan
tt0113475,Hong Kong
tt0114000,United States of America
tt0117001,United States of America
tt0118212,Finland
tt0120107,United States of America
tt0121153,Israel
tt0122016,Italy
tt0122076,United States of America
tt0122632,Puerto Rico
tt0122710,United States of America
tt0124152,Finland
tt0126226,Mexico
tt0126856,United Kingdom
tt0129324,United States of America
tt0133141,Finland
tt0133259,Finland
tt0135408,Israel
tt0138754,Finland
tt0141499,Germany
tt0144940,Brazil
tt0147142,Israel
tt0147844,Hungary
tt0147888,United States of America
tt0152994,Czechoslovakia
tt0156126,India
tt0157938,United States of America
tt0165366,Hong Kong
tt0165739,United Kingdom
tt0168922,United States of America
tt0169716,Croatia
tt0169716,Montenegro
tt0169871,Italy
tt0169895,United States of America
tt0170583,Croatia
tt0171669,Italy
tt0174040,Azerbaijan
tt0174040,Soviet Union
tt0178708,Norway
tt0180184,Brazil
tt0181633,Greece
tt0186242,Philippines
tt0186838,India
tt0187344,India
tt0169024,Austria
tt0169024,Switzerland
tt0188545,Philippines
tt0188859,Canada
tt0189154,Bulgaria
tt0196326,United States of America
tt0196866,United States of America
tt0196866,Germany
tt0202210,Germany
tt0202210,France
tt0203309,Greece
tt0206113,United States of America
tt0213457,India
tt0218984,Japan
tt0224594,Japan
tt0224594,Kazakhstan
tt0234025,Germany
tt0234230,India
tt0240084,India
tt0242566,Mexico
tt0244136,United Kingdom
tt0245523,South Africa
tt0246744,France
tt0246744,Belgium
tt0254648,India
tt0256444,Germany
tt0257171,Japan
tt0257832,India
tt0259929,United Kingdom
tt0265260,Hungary
tt0271348,India
tt0271774,India
tt0277829,Greece
tt0280062,India
tt0280545,United States of America
tt0280581,Mexico
tt0282913,Greece
tt0283496,India
tt0284253,United States of America
tt0285589,Turkey
tt0286023,Japan
tt0287780,Japan
tt0288189,Japan
tt0290689,India
tt0297132,Romania
tt0308827,Japan
tt0310352,United Kingdom
tt0311349,Philippines
tt0312941,Hong Kong
tt0316733,India
tt0319148,Mexico
tt0319561,India
tt0323002,Japan
tt0327028,India
tt0328572,Japan
tt0330225,South Korea
tt0347016,Denmark
tt0349701,Japan
tt0353413,India
tt0356385,Philippines
tt0360946,Japan
tt0363022,Mexico
tt0375878,India
tt0376144,India
tt0377659,United States of America
tt0379586,Sri Lanka
tt0390599,Mexico
tt0408927,France
tt0415373,India
tt0428002,Japan
tt0429200,France
tt0441561,Hong Kong
tt0443260,Japan
tt0443436,United States of America
tt0446685,Japan
tt0448182,United States of America
tt0450585,France
tt0456892,Japan
tt0457907,Germany
tt0460952,United States of America
tt0461893,Japan
tt0464800,France
tt0464800,Germany
tt0464800,Japan
tt0469695,Austria
tt0469779,Thailand
tt0472415,Japan
tt0476419,Denmark
tt0484357,Greece
tt0487400,United States of America
tt0488885,Malaysia
tt0490851,United States of America
tt0003171,United States of America
tt0343094,Japan
tt0006696,United States of America
tt0011093,United States of America
tt0016655,United States of America
tt0017160,United States of America
tt0019087,Germany
tt0020443,United Kingdom
tt0026192,Mexico
tt0026664,Spain
tt0026800,United States of America
tt0026972,United Kingdom
tt0028786,India
tt0030627,United States of America
tt0031475,United States of America
tt0031862,Finland
tt0032275,Spain
tt0033373,United States of America
tt0033858,United States of America
tt0000574,Australia
tt0000679,United States of America
tt0000846,Mexico
tt0000867,Mexico
tt0000879,Mexico
tt0000984,Mexico
tt0001028,United Kingdom
tt0001082,Mexico
tt0001175,France
tt0001179,Mexico
tt0001184,Spain
tt0001186,United States of America
tt0001592,Denmark
tt0001630,Germany
tt0001764,Mexico
tt0001892,Denmark
tt0001914,Germany
tt0001920,Mexico
tt0002031,United States of America
tt0002046,Spain
tt0002089,United Kingdom
tt0002101,United States of America
tt0002130,Italy
tt0002186,Denmark
tt0002199,United States of America
tt0002406,United Kingdom
tt0002423,Germany
tt0002444,United States of America
tt0002452,Romania
tt0002458,Mexico
tt0002461,France
tt0002461,United States of America
tt0002500,Denmark
tt0002514,Sweden
tt0002555,Hungary
tt0002588,France
tt0002605,United States of America
tt0002642,Denmark
tt0002646,Denmark
tt0002669,United States of America
tt0002685,Sweden
tt0002785,France
tt0002798,France
tt0002801,Belgium
tt0002820,United Kingdom
tt0002832,Canada
tt0002889,France
tt0002898,France
tt0002917,Sweden
tt0002922,United Kingdom
tt0003002,Denmark
tt0003006,United States of America
tt0003014,Sweden
tt0003015,Germany
tt0003022,United Kingdom
tt0003022,United States of America
tt0003039,Russia
tt0003051,Germany
tt0003102,Italy
tt0003113,Spain
tt0003131,Belgium
tt0003159,France
tt0003167,United States of America
tt0003301,United States of America
tt0003306,Sweden
tt0003316,United States of America
tt0003330,Germany
tt0003423,Germany
tt0003442,United States of America
tt0003471,United States of America
tt0003502,Germany
tt0003565,Germany
tt0003595,United States of America
tt0003596,United States of America
tt0003599,United States of America
tt0003609,Germany
tt0003625,Russia
tt0003630,Hungary
tt0003632,Germany
tt0003643,United States of America
tt0003651,Denmark
tt0003657,United States of America
tt0003670,United States of America
tt0003698,United States of America
tt0003724,United States of America
tt0003731,United States of America
tt0003740,Italy
tt0003743,United States of America
tt0003744,United States of America
tt0003772,United States of America
tt0003815,United States of America
tt0003816,United States of America
tt0003854,United States of America
tt0003870,Sweden
tt0003871,United States of America
tt0003883,France
tt0003884,Germany
tt0003890,United States of America
tt0003893,United States of America
tt0003960,Belgium
tt0003973,United States of America
tt0004003,Sweden
tt0004009,Germany
tt0004026,Germany
tt0004027,United States of America
tt0004052,United States of America
tt0004066,Denmark
tt0004099,United States of America
tt0004121,Germany
tt0004134,United States of America
tt0004150,United States of America
tt0004179,United States of America
tt0004181,United States of America
tt0004182,United States of America
tt0004223,United States of America
tt0004232,United States of America
tt0004257,United States of America
tt0004267,United States of America
tt0004292,United States of America
tt0004306,United States of America
tt0004307,United States of America
tt0004319,United States of America
tt0004336,United States of America
tt0004345,Spain
tt0004369,United States of America
tt0004377,Germany
tt0004384,Italy
tt0004387,Denmark
tt0004390,Russia
tt0004391,United States of America
tt0004435,United States of America
tt0004453,United States of America
tt0004456,Germany
tt0004457,United States of America
tt0004465,United States of America
tt0004504,United States of America
tt0004509,United States of America
tt0004532,United States of America
tt0004555,United States of America
tt0004558,United States of America
tt0004571,Spain
tt0004630,United States of America
tt0004635,United States of America
tt0004654,United States of America
tt0004677,United States of America
tt0004681,United States of America
tt0004690,United States of America
tt0004707,United States of America
tt0004708,Germany
tt0004712,Hungary
tt0004727,United States of America
tt0004740,United States of America
tt0004754,United States of America
tt0004766,United States of America
tt0004786,Netherlands
tt0004792,United States of America
tt0004798,United States of America
tt0004803,United States of America
tt0004825,United States of America
tt0004838,United States of America
tt0004846,United States of America
tt0004872,United States of America
tt0004873,United States of America
tt0004897,United States of America
tt0004905,United States of America
tt0004907,United States of America
tt0004924,Germany
tt0004942,United States of America
tt0004943,United States of America
tt0004950,United States of America
tt0004956,United States of America
tt0004962,United States of America
tt0004974,United States of America
tt0004979,Germany
tt0005005,United States of America
tt0005049,United States of America
tt0005058,United States of America
tt0005059,United States of America
tt0005060,United States of America
tt0005078,United States of America
tt0005087,United States of America
tt0005098,Spain
tt0005104,United States of America
tt0005148,United States of America
tt0005149,United States of America
tt0005162,United States of America
tt0005163,United States of America
tt0005172,United States of America
tt0005179,United States of America
tt0005180,United States of America
tt0005187,United States of America
tt0005193,United States of America
tt0005200,United States of America
tt0005214,United States of America
tt0005231,Germany
tt0005254,United States of America
tt0005297,United States of America
tt0005302,United States of America
tt0005308,United States of America
tt0005331,United States of America
tt0005339,United States of America
tt0005348,United States of America
tt0005353,United States of America
tt0005356,United States of America
tt0005366,Germany
tt0005367,United States of America
tt0005381,United States of America
tt0005389,United States of America
tt0005392,United States of America
tt0005393,United States of America
tt0005396,United States of America
tt0005402,United States of America
tt0005411,United States of America
tt0005416,United States of America
tt0005454,United States of America
tt0005466,United States of America
tt0005513,Germany
tt0005514,Germany
tt0005525,United States of America
tt0005529,Denmark
tt0005551,United States of America
tt0005557,United States of America
tt0005562,United Kingdom
tt0005575,United States of America
tt0005579,United States of America
tt0005600,United States of America
tt0005602,Sweden
tt0005615,United States of America
tt0005621,United States of America
tt0005624,United States of America
tt0005680,Italy
tt0005683,Sweden
tt0005689,United States of America
tt0005700,United States of America
tt0357876,France
tt0005719,United States of America
tt0005733,United States of America
tt0005756,United States of America
tt0005769,United States of America
